status,product_area,response,justification,request_type
replied,Claude,Workspace admins can add or remove members from the Team settings page. (Source: claude_faq.txt) Claude is an AI assistant developed by Anthropic. (Source: claude_faq.txt),"Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,HackerRank,"To run a HackerRank assessment, you must first log into the platform. If you encounter any compiler issues or test failing issues during an interview, please refresh the page. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
escalated,Visa,Your request has been escalated to our human support team. They will contact you shortly.,Mandatory escalation due to sensitive/high-risk topic detection (fraud/billing/access).,product_issue
escalated,HackerRank,Your request has been escalated to our human support team. They will contact you shortly.,Mandatory escalation due to sensitive/high-risk topic detection (fraud/billing/access).,product_issue
escalated,HackerRank,Your request has been escalated to our human support team. They will contact you shortly.,Escalated due to insufficient knowledge base context (score: 0.000).,product_issue
replied,HackerRank,"To run a HackerRank assessment, you must first log into the platform. If you encounter any compiler issues or test failing issues during an interview, please refresh the page. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,HackerRank,"For ATS integrations like Greenhouse or Workday, navigate to the Integrations tab in your settings. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
escalated,HackerRank,Your request has been escalated to our human support team. They will contact you shortly.,Escalated due to insufficient knowledge base context (score: 0.000).,product_issue
replied,HackerRank,"If your code is not compiling, check the language version you have selected in the top right dropdown menu of the compiler. (Source: hackerrank_faq.txt) Workspace admins can add or remove members from the Team settings page. (Source: claude_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",bug
replied,HackerRank,"To run a HackerRank assessment, you must first log into the platform. If you encounter any compiler issues or test failing issues during an interview, please refresh the page. (Source: hackerrank_faq.txt) For ATS integrations like Greenhouse or Workday, navigate to the Integrations tab in your settings. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,HackerRank,Candidates caught cheating will be automatically flagged by our proctoring system. (Source: hackerrank_faq.txt),"Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,Out of Scope,"I'm sorry, but your query is outside the scope of my supported domains (HackerRank, Claude, Visa).","Query is completely outside the supported domains (HackerRank, Claude, Visa).",product_issue
replied,HackerRank,"Workspace admins can add or remove members from the Team settings page. (Source: claude_faq.txt) To run a HackerRank assessment, you must first log into the platform. If you encounter any compiler issues or test failing issues during an interview, please refresh the page. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
escalated,HackerRank,Your request has been escalated to our human support team. They will contact you shortly.,Escalated due to insufficient knowledge base context (score: 0.000).,product_issue
replied,Claude,"Claude is an AI assistant developed by Anthropic. (Source: claude_faq.txt) If Claude is not responding properly or failing, please try clearing your browser cache. API tokens can be generated from the API Console. If you hit a rate limit, please wait a few minutes before trying again. (Source: claude_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",bug
escalated,Visa,Your request has been escalated to our human support team. They will contact you shortly.,Mandatory escalation due to sensitive/high-risk topic detection (fraud/billing/access).,product_issue
escalated,HackerRank,Your request has been escalated to our human support team. They will contact you shortly.,Escalated due to insufficient knowledge base context (score: 0.000).,bug
replied,HackerRank,"To run a HackerRank assessment, you must first log into the platform. If you encounter any compiler issues or test failing issues during an interview, please refresh the page. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
escalated,Visa,Your request has been escalated to our human support team. They will contact you shortly.,Mandatory escalation due to sensitive/high-risk topic detection (fraud/billing/access).,product_issue
replied,Claude,"Claude is an AI assistant developed by Anthropic. (Source: claude_faq.txt) If Claude is not responding properly or failing, please try clearing your browser cache. API tokens can be generated from the API Console. If you hit a rate limit, please wait a few minutes before trying again. (Source: claude_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,Claude,"Claude is an AI assistant developed by Anthropic. (Source: claude_faq.txt) If Claude is not responding properly or failing, please try clearing your browser cache. API tokens can be generated from the API Console. If you hit a rate limit, please wait a few minutes before trying again. (Source: claude_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,Visa,"If your code is not compiling, check the language version you have selected in the top right dropdown menu of the compiler. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,Claude,"Claude is an AI assistant developed by Anthropic. (Source: claude_faq.txt) If Claude is not responding properly or failing, please try clearing your browser cache. API tokens can be generated from the API Console. If you hit a rate limit, please wait a few minutes before trying again. (Source: claude_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
replied,HackerRank,"If your code is not compiling, check the language version you have selected in the top right dropdown menu of the compiler. (Source: hackerrank_faq.txt)","Sufficient context found in corpus to provide a safe, automated reply.",product_issue
